gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp101977_c0	seq1.p1	5	1	0	2	4	1
comp101993_c0	seq2.p1	2	2	1	4	1	4
comp102009_c0	seq1.p1	0	2	2	0	1	2
comp102015_c0	seq2.p1	12	4	1	0	0	2
comp102024_c0	seq1.p1	0	0	1	1	1	1
comp102024_c0	seq2.p1	0	2	1	1	1	6
comp102025_c0	seq1.p1	9	8	4	21	3	12
comp102031_c0	seq1.p1	154	65	36	18	21	6
comp10203_c0	seq1.p1	8	9	1	0	0	0
comp102048_c1	seq1.p1	1	0	0	3	6	1
comp102049_c0	seq1.p1	2	0	0	1	1	14
comp102050_c0	seq1.p1	0	4	0	1	3	3
comp102057_c0	seq1.p1	2	6	1	2	0	0
comp102067_c0	seq1.p1	0	0	3	0	3	6
comp102067_c1	seq1.p1	0	1	3	0	0	6
comp102068_c0	seq1.p1	2	1	1	0	5	1
comp102072_c0	seq1.p1	1	0	7	1	0	3
comp102076_c0	seq1.p1	0	0	220	0	0	9
comp102080_c0	seq1.p1	1	1	1	0	4	2
comp102081_c0	seq1.p1	328	291	325	209	353	671
comp102084_c0	seq1.p1	6	9	0	0	0	0
comp102088_c0	seq1.p1	190	83	171	196	234	176
comp102088_c0	seq2.p1	169	71	145	184	220	142
comp102105_c0	seq1.p1	2	0	2	8	0	6
comp102111_c0	seq1.p1	3	4	0	31	2	5
comp102112_c1	seq1.p1	2	1	6	1	2	5
comp102120_c0	seq1.p1	1	2	3	2	2	2
comp102130_c0	seq1.p1	0	1	0	2	2	2
comp102135_c1	seq1.p1	10	11	9	2	0	5
comp102142_c1	seq1.p1	0	1	0	0	1	5
comp102146_c1	seq2.p1	5	1	0	0	1	3
comp102151_c0	seq2.p1	1	0	0	12	8	23
comp102162_c0	seq1.p1	0	0	0	0	38	0
comp102162_c0	seq3.p1	0	0	0	0	15	0
comp102188_c0	seq1.p1	54	54	27	159	315	467
comp102193_c0	seq1.p1	0	0	1	2	2	1
comp102196_c0	seq1.p1	3	1	1	0	7	2
comp102197_c0	seq1.p1	1	1	4	1	1	2
comp102197_c0	seq2.p1	1	2	0	4	3	0
comp102202_c0	seq1.p1	0	3	3	2	3	3
comp102205_c0	seq1.p1	8	2	1	2	12	14
comp102206_c1	seq1.p1	2	1	3	2	5	8
comp102210_c0	seq1.p1	2	0	3	0	1	5
comp102240_c0	seq1.p1	0	1	0	4	1	2
comp102248_c0	seq2.p1	0	1	0	0	2	6
comp102251_c0	seq1.p1	130	133	99	90	197	243
comp102258_c0	seq1.p1	0	0	14	0	0	7
comp102266_c0	seq1.p1	1	3	1	2	1	3
comp102270_c5	seq1.p1	0	0	0	1	361	0
comp102285_c0	seq3.p1	0	0	0	0	11	0
comp102292_c0	seq2.p1	0	2	1	0	0	23
comp102300_c0	seq1.p1	4	5	1	2	2	4
comp102348_c0	seq1.p1	217	243	117	42	38	136
comp102348_c0	seq2.p1	338	287	141	68	32	152
comp102354_c0	seq2.p1	3	6	1	2	2	0
comp102354_c0	seq4.p1	0	5	0	0	3	0
comp102358_c1	seq1.p1	1	1	0	3	0	0
comp102365_c1	seq1.p1	1	2	1	7	4	2
comp102370_c0	seq2.p1	3	3	5	3	0	3
comp102370_c0	seq3.p1	4	0	3	1	0	0
comp102372_c0	seq1.p1	616	265	392	814	584	784
comp102374_c0	seq2.p1	310	316	57	283	58	65
comp102383_c1	seq1.p1	2	4	6	0	0	1
comp102387_c0	seq1.p1	40	59	0	7	11	0
comp102410_c0	seq1.p1	21	8	16	30	23	12
comp102419_c0	seq3.p1	0	0	0	0	47	1
comp102425_c0	seq1.p1	0	0	0	0	8	0
comp102429_c0	seq1.p1	21	17	5	6	4	3
comp102433_c0	seq1.p1	160	84	109	68	48	75
comp10243_c0	seq1.p1	5	4	0	0	0	1
comp102441_c1	seq1.p1	2	0	0	3	1	4
comp102441_c1	seq2.p1	1	1	0	3	0	2
comp102461_c0	seq1.p1	9	8	0	0	0	0
comp102463_c0	seq2.p1	2	2	0	1	0	0
comp102463_c0	seq4.p1	11	1	0	2	1	0
comp102471_c0	seq1.p1	0	0	1	1	0	1
comp102471_c0	seq2.p1	0	0	0	0	2	4
comp102472_c0	seq1.p1	4	3	2	3	1	0
comp102477_c0	seq1.p1	13	4	7	3	3	10
comp102478_c0	seq1.p1	0	0	26	0	9	9
comp102483_c2	seq1.p1	1	0	4	2	4	12
comp102484_c0	seq1.p1	2	4	2	2	2	2
comp102487_c0	seq1.p1	2377	2521	1594	782	1180	1632
comp102490_c0	seq1.p1	294	172	438	144	560	979
comp102490_c0	seq2.p1	83	56	165	81	221	410
comp102494_c0	seq1.p1	1	3	0	1	2	0
comp102500_c0	seq1.p1	2	6	2	0	5	1
comp102504_c0	seq1.p1	36	21	0	3	0	0
comp102506_c0	seq1.p1	1257	917	1430	95	90	92
comp102510_c0	seq1.p1	198	197	87	207	237	142
comp102514_c0	seq2.p1	2	7	0	1	1	2
comp102514_c0	seq3.p1	3	3	1	2	1	7
