gene_id	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp101931_c0	1487	1379	1109	82	153	274
comp101932_c1	5	12	8	2	0	15
comp101939_c0	3	2	3	0	0	0
comp101943_c0	1	2	4	0	2	4
comp101945_c0	0	2	5	4	1	5
comp101969_c0	3	2	1	3	2	2
comp101973_c0	2	1	0	1	0	0
comp101974_c0	0	0	2	1	1	2
comp101977_c0	5	1	0	2	4	1
comp101993_c0	2	2	1	4	1	4
comp102009_c0	0	2	2	0	1	2
comp102015_c0	12	4	1	0	0	2
comp102024_c0	0	2	2	2	2	7
comp102025_c0	9	8	4	21	3	12
comp102031_c0	154	65	36	18	21	6
comp10203_c0	8	9	1	0	0	0
comp102048_c1	1	0	0	3	6	1
comp102049_c0	2	0	0	1	1	14
comp102050_c0	0	4	0	1	3	3
comp102057_c0	2	6	1	2	0	0
comp102067_c0	0	0	3	0	3	6
comp102067_c1	0	1	3	0	0	6
comp102068_c0	2	1	1	0	5	1
comp102072_c0	1	0	7	1	0	3
comp102076_c0	0	0	220	0	0	9
comp102080_c0	1	1	1	0	4	2
comp102081_c0	328	291	325	209	353	671
comp102084_c0	6	9	0	0	0	0
comp102088_c0	359	154	316	380	454	318
comp102105_c0	2	0	2	8	0	6
comp102111_c0	3	4	0	31	2	5
comp102112_c1	2	1	6	1	2	5
comp102120_c0	1	2	3	2	2	2
comp102130_c0	0	1	0	2	2	2
comp102135_c1	10	11	9	2	0	5
comp102142_c1	0	1	0	0	1	5
comp102146_c1	5	1	0	0	1	3
comp102151_c0	1	0	0	12	8	23
comp102162_c0	0	0	0	0	53	0
comp102188_c0	54	54	27	159	315	467
comp102193_c0	0	0	1	2	2	1
comp102196_c0	3	1	1	0	7	2
comp102197_c0	2	3	4	5	4	2
comp102202_c0	0	3	3	2	3	3
comp102205_c0	8	2	1	2	12	14
comp102206_c1	2	1	3	2	5	8
comp102210_c0	2	0	3	0	1	5
comp102240_c0	0	1	0	4	1	2
comp102248_c0	0	1	0	0	2	6
comp102251_c0	130	133	99	90	197	243
comp102258_c0	0	0	14	0	0	7
comp102266_c0	1	3	1	2	1	3
comp102270_c5	0	0	0	1	361	0
comp102285_c0	0	0	0	0	11	0
comp102292_c0	0	2	1	0	0	23
comp102300_c0	4	5	1	2	2	4
comp102348_c0	555	530	258	110	70	288
comp102354_c0	3	11	1	2	5	0
comp102358_c1	1	1	0	3	0	0
comp102365_c1	1	2	1	7	4	2
comp102370_c0	7	3	8	4	0	3
comp102372_c0	616	265	392	814	584	784
comp102374_c0	310	316	57	283	58	65
comp102383_c1	2	4	6	0	0	1
comp102387_c0	40	59	0	7	11	0
comp102410_c0	21	8	16	30	23	12
comp102419_c0	0	0	0	0	47	1
comp102425_c0	0	0	0	0	8	0
comp102429_c0	21	17	5	6	4	3
comp102433_c0	160	84	109	68	48	75
comp10243_c0	5	4	0	0	0	1
comp102441_c1	3	1	0	6	1	6
comp102461_c0	9	8	0	0	0	0
comp102463_c0	13	3	0	3	1	0
comp102471_c0	0	0	1	1	2	5
comp102472_c0	4	3	2	3	1	0
comp102477_c0	13	4	7	3	3	10
comp102478_c0	0	0	26	0	9	9
comp102483_c2	1	0	4	2	4	12
comp102484_c0	2	4	2	2	2	2
comp102487_c0	2377	2521	1594	782	1180	1632
comp102490_c0	377	228	603	225	781	1389
comp102494_c0	1	3	0	1	2	0
comp102500_c0	2	6	2	0	5	1
comp102504_c0	36	21	0	3	0	0
comp102506_c0	1257	917	1430	95	90	92
comp102510_c0	198	197	87	207	237	142
comp102514_c0	5	10	1	3	2	9
comp102530_c0	0	0	0	10	3	1
comp102530_c1	0	0	0	16	0	0
comp102540_c0	6	2	6	19	7	2
comp102543_c0	1	2	0	2	1	2
comp102566_c2	0	0	0	0	4	6
comp102573_c1	0	0	41	0	0	5
comp102578_c0	27	15	0	3	7	1
comp102580_c0	2	2	0	0	5	0
comp102584_c0	189	126	38	67	101	201
comp102594_c0	3	1	4	1	4	2
comp102597_c0	7	21	91	0	0	2
comp102609_c0	216	153	299	99	107	224
comp102611_c0	282	251	347	588	523	883
comp102615_c0	17	13	16	20	7	32
comp102618_c0	0	2	4	8	5	13
comp102620_c0	1	0	3	0	10	22
comp102630_c0	366	376	561	122	182	456
comp102642_c3	1	1	6	3	0	2
comp102650_c0	470	414	293	61	88	163
comp102651_c0	2	0	6	2	5	1
comp102655_c0	0	1	2	4	0	4
comp102666_c0	11	4	0	0	0	0
comp102688_c0	2	2	4	4	8	0
comp10268_c0	1	10	1	1	0	1
comp102702_c0	62	53	309	0	0	501
comp102714_c0	1	2	5	1	7	12
comp102718_c0	14	14	3	0	0	4
comp102718_c1	26	21	11	0	1	10
comp102719_c0	15	11	8	17	28	18
comp102735_c0	3	1	4	1	5	3
comp102759_c0	3	4	4	2	2	4
comp102772_c0	2	1	4	0	0	9
comp102772_c1	3	3	1	0	0	5
comp102774_c1	6	4	5	3	3	18
comp102779_c0	1	0	0	4	3	6
comp102796_c0	290	218	382	113	96	141
comp102809_c1	2	0	4	12	4	3
comp102819_c0	1	1	4	3	1	4
comp10281_c0	0	0	1	0	10	2
comp102823_c0	11	2	2	2	2	0
comp102840_c0	130	124	110	1	1	0
comp102845_c1	1	2	3	1	1	5
comp102860_c0	5	12	8	5	3	2
comp102881_c0	0	0	0	0	166	0
comp102883_c0	14	32	14	9	14	9
comp102895_c0	0	1	0	9	7	12
comp102903_c0	2	1	8	0	0	0
comp102908_c0	16	37	4	5	8	12
comp102911_c1	1	1	1	2	2	5
comp102912_c0	8	6	0	7	11	2
comp102926_c0	22	9	49	1	0	35
comp102938_c1	1	0	1	2	0	2
comp102942_c0	4	7	0	4	0	0
comp102952_c0	1	3	2	3	0	4
comp102960_c0	0	0	12	0	0	7
comp102960_c2	0	0	20	0	0	19
comp102960_c3	0	0	8	0	0	11
comp102962_c0	370	199	230	634	505	1004
comp102964_c0	0	2	1	3	5	5
comp10296_c0	1	1	2	1	0	1
comp102975_c0	1	0	0	1	0	10
comp102977_c0	9	7	1	24	0	1
comp102980_c0	8	3	3	1	8	5
comp102981_c0	2	3	0	0	0	3
comp102982_c0	0	9	2	0	0	0
comp102984_c0	2	0	2	1	6	6
comp102988_c0	5	0	6	7	2	1
comp102988_c1	3	1	7	9	3	3
comp102992_c0	4	1	3	1	0	0
comp102992_c1	5	2	2	5	0	0
comp102995_c0	468	300	4	34	77	3
comp103011_c0	1	0	3	3	3	3
comp103012_c0	1	0	1	5	2	10
comp103025_c0	0	2	2	2	2	0
comp103034_c0	283	285	200	389	269	422
comp103040_c0	0	0	0	5	7	4
comp10304_c0	0	0	0	0	20	0
comp103059_c0	3	7	7	0	30	0
comp103065_c0	482	368	549	889	1226	845
comp10306_c1	0	1	11	0	0	0
comp103070_c0	1	0	2	1	4	6
comp10307_c0	3	0	3	0	3	2
comp103080_c0	1	3	1	1	1	0
comp10308_c1	2	2	1	3	1	2
comp103093_c0	0	0	0	1	6	10
comp103107_c0	2	2	5	0	1	6
comp103110_c0	0	1	36	0	0	6
comp103111_c0	3	0	4	1	8	9
comp103115_c0	0	3	2	6	3	1
comp103115_c1	12	7	5	25	7	6
comp103129_c0	1	1	3	0	11	8
comp103138_c1	5	5	4	4	0	3
comp103159_c0	2	1	1	0	0	3
comp103159_c1	1	0	0	1	0	1
comp103168_c0	3	3	4	0	251	2
comp103169_c0	216	220	185	134	320	595
comp103172_c0	3	1	5	1	1	3
comp103172_c1	3	2	4	1	1	2
comp103173_c1	10	6	12	0	0	0
comp103182_c0	32	23	37	1	0	0
comp103201_c0	0	1	1	0	1	2
comp103207_c0	5	5	0	2	0	0
comp103207_c1	4	2	0	1	0	0
comp103212_c2	6	4	1	1	0	5
comp10322_c0	4	3	3	2	0	0
comp103235_c0	1	1	3	0	14	0
comp103239_c0	7	1	2	1	7	5
comp103242_c0	103	70	150	56	81	126
comp103246_c0	0	0	0	2	0	4
comp103255_c0	1	8	2	0	0	6
comp103268_c0	4	1	0	2	8	0
comp103269_c0	1	2	4	4	6	0
comp103270_c0	2	1	0	1	2	3
comp103278_c0	1	6	4	5	1	11
comp103279_c0	98	116	67	85	227	185
comp103280_c0	2	0	2	9	12	2
comp103288_c1	1	12	2	1	1	5
comp103302_c0	185	117	16	1	0	0
comp103307_c0	14	16	5	1	0	1
comp103312_c0	0	0	0	1	10	0
comp103318_c0	0	0	0	2	2	1
comp103332_c0	10	5	0	4	0	1
comp103342_c0	5	8	7	3	1	4
comp103356_c0	2	3	2	2	1	0
comp103362_c0	1	0	1	6	0	3
comp103366_c0	48	17	48	2	5	0
comp103366_c1	31	17	45	1	2	0
comp103369_c0	0	0	74	0	0	149
comp103374_c0	495	310	558	110	46	41
comp103376_c0	0	0	0	0	78	0
comp103382_c0	704	484	459	1238	969	1543
comp103385_c0	2	1	3	0	0	0
comp103385_c2	4	7	5	0	0	0
comp103389_c0	11	9	7	3	2	14
comp103396_c2	8	7	9	2	0	3
comp103399_c1	6	5	3	5	4	9
comp103407_c0	5	2	2	3	6	3
comp103416_c0	922	920	834	780	916	756
comp103424_c0	38	31	0	0	0	0
comp103424_c1	34	14	1	0	8	0
comp103425_c0	40	31	16	11	1946	0
comp103428_c0	3246	3035	2694	1555	2452	2772
comp103429_c0	0	0	1	4	3	3
comp103431_c0	1	3	2	0	1	3
comp103434_c0	3582	4208	2894	6365	6130	9551
comp103435_c0	556	461	290	225	376	1273
comp103439_c0	2	0	2	8	5	6
comp103440_c0	276	167	205	105	150	279
comp103441_c0	1	0	0	18	1	14
comp103459_c0	4	5	4	12	11	0
comp103463_c1	5	2	5	1	0	1
comp103464_c1	52	51	22	12	7	9
comp103468_c0	29	19	10	2	5	3
comp103472_c0	29	36	21	0	4	4
comp103473_c1	0	0	1	0	55	0
comp103481_c0	0	1	0	0	6	3
comp103482_c0	0	0	9	0	4	8
comp103501_c0	327	254	389	173	248	140
comp103506_c0	1	1	0	1	0	1
comp103508_c0	2	2	0	9	2	1
comp103514_c0	9182	8535	7241	1742	2458	5476
comp103517_c0	0	3	6	1	3	0
comp103517_c1	3	2	8	3	0	0
comp103537_c0	3	1	2	2	3	2
comp103538_c0	39	51	69	6	254	41
comp103558_c0	873	908	798	449	1096	943
comp103559_c0	2	4	1	2	2	8
comp103570_c0	438	397	308	784	838	890
comp103578_c0	2	2	2	2	3	4
comp103581_c0	360	280	210	195	186	619
comp103582_c0	1	0	3	0	0	0
comp103585_c0	1	1	0	6	3	3
comp103587_c0	2	0	2	0	0	2
comp103606_c0	6	6	7	3	0	8
comp103610_c0	2578	2762	2157	747	1171	1570
comp103612_c0	11	4	7	3	2	2
comp103617_c0	0	2	0	1	3	4
comp103620_c0	2	2	0	2	0	5
comp103622_c0	2	7	4	1	0	0
comp103624_c0	2	2	2	17	2	3
comp103627_c0	125	103	104	241	344	325
comp103636_c1	2	0	2	0	1	1
comp103639_c0	5	0	4	1	0	4
comp103654_c0	3	1	1	1	2	12
comp103659_c1	1	2	1	0	3	5
comp103667_c0	0	0	0	2	1	11
comp103668_c0	0	7	0	0	0	1
comp103671_c0	8	5	1	0	0	0
comp103705_c0	478	389	443	473	361	756
comp103707_c2	2	2	3	6	2	1
comp103714_c1	3	4	1	2	0	2
comp103723_c0	804	744	528	475	568	758
comp103734_c0	0	0	0	0	147	0
comp103741_c1	5	2	3	4	3	5
comp103758_c0	2	4	0	7	1	3
comp103772_c0	1	4	0	3	1	4
comp103772_c1	1	2	0	2	2	3
comp103773_c0	5	7	1	6	2	1
comp103785_c0	5	0	0	0	15	0
comp103813_c0	1018	845	909	496	927	971
comp103816_c0	0	1	0	1	2	0
comp103819_c0	79	33	0	2	0	0
comp103824_c1	12	22	14	0	0	0
comp103844_c0	1	1	6	4	5	6
comp103846_c0	368	242	359	544	757	1276
comp103850_c0	19	11	9	7	6	18
comp103855_c1	0	0	0	1	10	3
comp103863_c0	509	586	450	392	314	462
comp103866_c0	439	397	253	414	475	956
comp10387_c0	2	1	12	0	0	0
comp103892_c0	531	636	419	546	727	579
comp103893_c0	209	162	192	153	127	337
comp103898_c0	17	3	14	0	0	8
comp103910_c0	3	6	7	3	0	1
comp103921_c0	7	9	16	7	1	27
comp103922_c0	3	2	2	0	0	0
comp103931_c0	0	0	1	14	16	1
comp103935_c0	0	0	1	1	0	1
comp103935_c1	2	0	4	3	4	2
comp103937_c1	1	2	9	0	0	0
comp103938_c0	15	13	0	2	4	0
comp103947_c1	0	5	2	2	1	3
comp103948_c0	2	0	0	0	7	8
comp103953_c1	13	7	19	1	0	3
comp103953_c2	10	13	22	2	0	2
comp103972_c0	623	543	914	610	662	831
comp103996_c0	73	45	59	70	101	116
comp103_c0	0	4	4	0	0	1
comp104000_c0	21	20	19	132	128	211
comp104008_c1	0	3	3	1	0	3
comp104012_c0	1	4	3	9	8	0
comp104015_c0	55	51	50	9	24	58
comp104020_c0	1	1	1	0	8	3
comp104026_c0	3	2	1	3	0	0
comp104050_c0	1	0	1	7	13	21
comp104057_c0	8	7	2	7	4	8
comp104060_c0	1	1	1	4	1	0
comp104060_c2	2	0	3	5	2	1
comp104060_c3	3	6	4	8	1	1
comp104061_c0	13	6	1	3	0	1
comp104061_c1	7	3	0	1	0	1
comp104070_c0	0	5	5	2	2	1
comp104077_c0	35	65	8	0	0	0
comp104091_c0	0	1	6	0	0	2
comp104096_c0	0	0	0	0	7	4
comp104108_c0	0	3	0	5	4	3
comp104114_c0	387	356	296	325	659	810
comp104115_c1	0	0	0	67	1	1
comp104118_c1	4	2	4	5	1	1
comp104122_c0	0	1	1	3	0	2
comp104135_c0	6	18	2	15	3	2
comp104138_c0	9	5	11	78	3	5
comp104143_c0	1	3	0	0	3	2
comp104143_c1	3	4	3	1	0	3
comp104168_c1	0	2	0	0	2	1
comp104172_c0	0	0	0	2	4	5
comp104173_c0	1	5	1	0	3	6
comp104177_c0	0	1	1	6	5	2
