gene_id	gameto_1	gameto_2	sporo_5	sporo_6
AagrBONN_evm.TU.Sc2ySwM_117.1136	17	34	24	56
AagrBONN_evm.TU.Sc2ySwM_117.1137	464	445	568	292
AagrBONN_evm.TU.Sc2ySwM_117.1138	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1139	1180	2093	1756	6421
AagrBONN_evm.TU.Sc2ySwM_117.114	598	931	828	2775
AagrBONN_evm.TU.Sc2ySwM_117.1140	337	461	556	1730
AagrBONN_evm.TU.Sc2ySwM_117.1141	3	9	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1142	145	224	258	729
AagrBONN_evm.TU.Sc2ySwM_117.1143	115	102	148	30
AagrBONN_evm.TU.Sc2ySwM_117.1144	781	1031	1302	6008
AagrBONN_evm.TU.Sc2ySwM_117.1145	224	291	468	1324
AagrBONN_evm.TU.Sc2ySwM_117.1146	7	6	19	0
AagrBONN_evm.TU.Sc2ySwM_117.1147	0	3	0	12
AagrBONN_evm.TU.Sc2ySwM_117.1148	44	78	69	438
AagrBONN_evm.TU.Sc2ySwM_117.1149	27	32	41	305
AagrBONN_evm.TU.Sc2ySwM_117.115	44	62	190	553
AagrBONN_evm.TU.Sc2ySwM_117.1150	40	58	73	171
AagrBONN_evm.TU.Sc2ySwM_117.1151	71	105	101	201
AagrBONN_evm.TU.Sc2ySwM_117.1152	0	1	5	0
AagrBONN_evm.TU.Sc2ySwM_117.1153	166	251	94	565
AagrBONN_evm.TU.Sc2ySwM_117.1154	209	197	491	1035
AagrBONN_evm.TU.Sc2ySwM_117.1155	643	1135	1173	4496
AagrBONN_evm.TU.Sc2ySwM_117.1156	641	1125	1284	3375
AagrBONN_evm.TU.Sc2ySwM_117.1157	137	356	380	1414
AagrBONN_evm.TU.Sc2ySwM_117.1158	776	1323	1147	4367
AagrBONN_evm.TU.Sc2ySwM_117.1159	391	650	784	3102
AagrBONN_evm.TU.Sc2ySwM_117.116	898	1371	1495	4481
AagrBONN_evm.TU.Sc2ySwM_117.1160	235	492	712	1514
AagrBONN_evm.TU.Sc2ySwM_117.1161	629	934	1510	3615
AagrBONN_evm.TU.Sc2ySwM_117.1162	71	140	140	230
AagrBONN_evm.TU.Sc2ySwM_117.1163	33	60	47	152
AagrBONN_evm.TU.Sc2ySwM_117.1164	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1165	1	4	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1166	0	0	8	26
AagrBONN_evm.TU.Sc2ySwM_117.1167	7	9	392	972
AagrBONN_evm.TU.Sc2ySwM_117.1168	20	5	364	1501
AagrBONN_evm.TU.Sc2ySwM_117.1169	0	2	12	49
AagrBONN_evm.TU.Sc2ySwM_117.117	0	0	13	8
AagrBONN_evm.TU.Sc2ySwM_117.1170	1	4	201	393
AagrBONN_evm.TU.Sc2ySwM_117.1171	1642	2429	2840	4254
AagrBONN_evm.TU.Sc2ySwM_117.1172	1918	2926	2789	9174
AagrBONN_evm.TU.Sc2ySwM_117.1173	165	234	74	433
AagrBONN_evm.TU.Sc2ySwM_117.1174	337	628	828	2271
AagrBONN_evm.TU.Sc2ySwM_117.1175	962	1555	2709	7883
AagrBONN_evm.TU.Sc2ySwM_117.1176	1199	1817	3297	12476
AagrBONN_evm.TU.Sc2ySwM_117.1177	1	0	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1178	0	1	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1179	122	216	492	965
AagrBONN_evm.TU.Sc2ySwM_117.118	0	0	13	58
AagrBONN_evm.TU.Sc2ySwM_117.1180	1629	1831	4892	13453
AagrBONN_evm.TU.Sc2ySwM_117.1181	0	9	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1182	1	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1183	77	25	37	53
AagrBONN_evm.TU.Sc2ySwM_117.1184	3951	3648	6185	19143
AagrBONN_evm.TU.Sc2ySwM_117.1185	59	98	131	568
AagrBONN_evm.TU.Sc2ySwM_117.1186	61	93	144	472
AagrBONN_evm.TU.Sc2ySwM_117.1187	174	413	328	1333
AagrBONN_evm.TU.Sc2ySwM_117.1188	193	215	277	461
AagrBONN_evm.TU.Sc2ySwM_117.1189	183	234	249	1034
AagrBONN_evm.TU.Sc2ySwM_117.119	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1190	3	6	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1191	2	1	0	4
AagrBONN_evm.TU.Sc2ySwM_117.1192	690	1252	1535	3771
AagrBONN_evm.TU.Sc2ySwM_117.1193	0	0	174	537
AagrBONN_evm.TU.Sc2ySwM_117.1194	82	154	12	48
AagrBONN_evm.TU.Sc2ySwM_117.1195	109	203	165	401
AagrBONN_evm.TU.Sc2ySwM_117.1196	555	782	1392	2500
AagrBONN_evm.TU.Sc2ySwM_117.1197	216	463	755	4122
AagrBONN_evm.TU.Sc2ySwM_117.1198	2555	3576	3631	10354
AagrBONN_evm.TU.Sc2ySwM_117.1199	679	738	18	31
AagrBONN_evm.TU.Sc2ySwM_117.12	222	437	652	1964
AagrBONN_evm.TU.Sc2ySwM_117.120	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1200	8	3	4	15
AagrBONN_evm.TU.Sc2ySwM_117.1201	211	364	418	1122
AagrBONN_evm.TU.Sc2ySwM_117.1202	2146	4173	3527	11110
AagrBONN_evm.TU.Sc2ySwM_117.1203	955	1108	3689	15426
AagrBONN_evm.TU.Sc2ySwM_117.1204	321	448	869	2789
AagrBONN_evm.TU.Sc2ySwM_117.1205	204	214	418	234
AagrBONN_evm.TU.Sc2ySwM_117.1206	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1207	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1208	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1209	0	0	3	3
AagrBONN_evm.TU.Sc2ySwM_117.121	0	0	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1210	0	0	2	2
AagrBONN_evm.TU.Sc2ySwM_117.1211	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1212	432	613	859	895
AagrBONN_evm.TU.Sc2ySwM_117.1213	3	9	29	58
AagrBONN_evm.TU.Sc2ySwM_117.1214	3	7	66	224
AagrBONN_evm.TU.Sc2ySwM_117.1215	110	219	174	796
AagrBONN_evm.TU.Sc2ySwM_117.1216	288	435	1770	5024
AagrBONN_evm.TU.Sc2ySwM_117.1217	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1218	163	251	549	3055
AagrBONN_evm.TU.Sc2ySwM_117.1219	151	227	358	1605
AagrBONN_evm.TU.Sc2ySwM_117.122	0	0	6	0
AagrBONN_evm.TU.Sc2ySwM_117.1220	720	495	1032	4789
AagrBONN_evm.TU.Sc2ySwM_117.1221	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1222	0	0	14	4
AagrBONN_evm.TU.Sc2ySwM_117.1223	2092	2645	3530	21564
AagrBONN_evm.TU.Sc2ySwM_117.1224	802	1051	1158	2621
AagrBONN_evm.TU.Sc2ySwM_117.1225	390	596	10	9
