gene_id	gameto_5	gameto_6	gameto_7	sporo_7	sporo_8	sporo_9
Pp3c10_17829	2	5	0	5	0	0
Pp3c10_17830	0	3	0	3	0	0
Pp3c10_17840	3	6	6	12	6	16
Pp3c10_17859	0	0	0	1	1	0
Pp3c10_17870	0	0	0	62	14	46
Pp3c10_17890	11	3	4	120	53	89
Pp3c10_1790	22	54	44	198	48	86
Pp3c10_17920	0	5	0	0	0	0
Pp3c10_17930	0	0	0	0	0	0
Pp3c10_17980	50	39	42	4937	1023	2902
Pp3c10_17990	0	0	0	0	0	0
Pp3c10_18090	44	51	53	399	191	506
Pp3c10_1810	954	810	803	405	108	179
Pp3c10_18120	0	0	0	10	3	10
Pp3c10_18140	0	0	0	0	0	0
Pp3c10_18150	191	146	253	302	204	186
Pp3c10_18160	45	35	43	278	123	168
Pp3c10_18180	0	0	0	0	0	0
Pp3c10_1820	494	401	398	5800	1211	1205
Pp3c10_18260	0	0	8	0	0	0
Pp3c10_18270	0	0	4	0	0	0
Pp3c10_18290	0	0	0	1066	619	811
Pp3c10_18300	51	36	68	244	105	119
Pp3c10_18310	2232	1895	2028	1180	439	992
Pp3c10_18330	2481	2143	2111	95	406	547
Pp3c10_18351	29	15	8	7	6	6
Pp3c10_18362	0	0	0	0	0	0
Pp3c10_18370	394	319	492	386	110	243
Pp3c10_18380	847	709	852	1070	315	610
Pp3c10_18390	3498	3025	3783	2655	164	327
Pp3c10_18400	389	324	420	1287	628	745
Pp3c10_18450	412	333	423	801	185	429
Pp3c10_18490	0	0	0	2	0	9
Pp3c10_1850	917	785	1112	1496	187	455
Pp3c10_18509	0	0	0	0	0	0
Pp3c10_18510	0	0	0	0	0	0
Pp3c10_18520	176	168	221	721	208	410
Pp3c10_18530	0	0	0	0	0	0
Pp3c10_18540	582	491	535	715	258	887
Pp3c10_18560	0	0	0	0	0	1
Pp3c10_18579	1	0	1	22	9	4
Pp3c10_18600	114	116	158	3002	401	604
Pp3c10_18629	0	0	1	0	0	0
Pp3c10_18630	0	0	1	0	0	0
Pp3c10_18650	4322	4096	4599	157	222	426
Pp3c10_18660	2453	2212	1950	1574	994	1320
Pp3c10_18670	920	753	1011	1042	492	641
Pp3c10_1870	425	346	523	2411	236	515
Pp3c10_1880	308	192	474	1167	16	15
Pp3c10_18810	423	314	411	429	259	455
Pp3c10_18860	493	354	583	1002	511	2227
Pp3c10_18869	1	2	0	14	4	33
Pp3c10_18880	0	0	0	6	2	19
Pp3c10_1890	2557	2250	2532	1946	343	684
Pp3c10_18900	0	0	2	9	2	8
Pp3c10_18909	11	9	13	94	44	150
Pp3c10_18920	5	6	10	129	79	183
Pp3c10_18930	19755	14485	24193	13261	11961	28050
Pp3c10_1896	2505	2199	2479	1912	343	675
Pp3c10_18970	321	351	341	506	73	133
Pp3c10_18980	2508	2284	2966	2148	634	1256
Pp3c10_190	969	777	1241	1756	984	1094
Pp3c10_1901	266	229	268	52	6	12
Pp3c10_19020	369	305	367	13	3	15
Pp3c10_19040	0	0	0	0	0	1
Pp3c10_19050	0	0	0	0	0	0
Pp3c10_19077	3	3	3	31	6	11
Pp3c10_19080	9	7	6	65	19	29
Pp3c10_19090	9	7	5	77	22	36
Pp3c10_1910	185	212	230	875	598	638
Pp3c10_19100	321	318	348	71	18	69
Pp3c10_19110	153	136	229	22	14	23
Pp3c10_19120	218	180	379	15	8	14
Pp3c10_19140	54	33	92	2	0	0
Pp3c10_19150	1075	925	1382	658	237	300
Pp3c10_19160	0	0	0	0	0	0
Pp3c10_19190	558	497	575	396	101	126
Pp3c10_1920	115	119	126	175	47	109
Pp3c10_19240	312	310	464	274	312	260
Pp3c10_19250	17	24	32	8	20	10
Pp3c10_19260	7268	5661	9261	2911	1499	3121
Pp3c10_19270	2295	1652	2820	1089	585	1094
